battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
813,yes,2.5,yes,5,yes,2,0.4,116,6,13,333,1429,2113,18,7.0,3,yes,no,yes,1
1991,yes,3.0,yes,8,no,17,0.2,203,8,15,629,682,2371,7,0.0,19,yes,yes,no,2
620,no,2.2,no,2,no,6,0.4,96,1,4,1314,1688,1053,13,,16,no,no,yes,0
656,yes,1.4000000000000001,no,0,yes,52,0.7999999999999999,206,4,4,1715,1898,1038,17,4.0,14,yes,no,no,1
578,yes,2.9,no,2,yes,10,0.30000000000000004,194,5,7,513,1438,2940,6,0.0,6,yes,yes,yes,2
669,yes,0.7,no,6,yes,3,0.7999999999999999,195,6,13,13,1463,2857,5,0.0,20,yes,no,yes,2
871,yes,1.1,no,7,yes,57,0.7,128,1,15,1243,1584,2729,13,3.0,9,yes,no,no,2
637,yes,0.6,yes,2,no,42,0.5,159,3,4,300,1059,2975,12,5.0,19,no,no,yes,2
611,yes,3.1,no,15,yes,44,0.4,127,1,16,58,1253,2583,15,11.0,16,yes,no,yes,1
1606,yes,1.8,no,2,no,33,1.1,201,8,5,134,939,918,13,10.0,13,no,yes,yes,0
1184,no,,,7,,8,0.6,148,8,16,275,986,2565,19,,20,yes,no,no,2
850,yes,2.2,yes,10,yes,19,0.9,158,7,18,176,1029,3361,10,0.0,15,yes,no,no,2
1612,yes,3.0,no,7,yes,64,1.0,191,4,12,1236,1280,943,8,4.0,10,yes,yes,no,1
1396,yes,1.0,yes,10,yes,62,0.4,185,5,13,1010,1565,475,11,1.0,21,yes,yes,no,0
1962,yes,2.4,yes,1,yes,61,0.4,96,7,3,205,1299,3867,10,7.0,12,yes,no,no,3
811,no,0.9,no,10,no,21,1.0,101,7,19,1453,1726,1276,18,7.0,4,no,no,no,1
901,no,0.6,yes,13,yes,57,1.0,182,2,18,788,1331,366,11,1.0,8,yes,yes,no,0
1978,yes,0.7999999999999999,yes,4,no,32,0.9,181,2,7,1301,1922,3701,17,11.0,14,no,yes,yes,3
881,no,1.6,yes,0,yes,21,0.9,197,4,2,463,1038,2929,14,13.0,12,yes,no,yes,2
918,yes,2.7,no,0,no,36,0.4,205,4,12,188,992,1472,13,0.0,15,no,yes,no,0
765,no,1.8,yes,8,yes,2,0.6,102,8,14,1028,1186,1052,6,4.0,9,yes,yes,no,0
510,no,1.7000000000000002,yes,0,no,9,0.5,172,6,2,1419,1920,2618,18,8.0,11,yes,yes,yes,2
827,no,3.0,yes,0,no,34,0.9,109,8,17,1471,1866,2917,8,2.0,11,yes,yes,no,3
1727,no,0.6,yes,8,yes,52,1.1,195,6,12,1125,1195,1245,19,18.0,6,yes,yes,yes,1
1110,yes,3.0,no,10,no,52,0.2,193,2,12,130,1706,3266,16,1.0,14,no,yes,yes,3
1013,no,1.2000000000000002,no,4,yes,36,0.30000000000000004,141,7,18,481,749,2263,7,6.0,17,yes,yes,yes,1
1069,yes,1.8,yes,0,no,58,0.6,145,7,0,79,681,708,12,9.0,17,no,yes,no,0
777,yes,2.7,no,0,no,30,0.5,199,7,10,561,1510,2525,17,16.0,10,yes,no,yes,2
1901,yes,0.7,no,0,no,26,0.2,161,2,0,96,814,338,13,11.0,5,yes,no,yes,0
932,yes,1.4000000000000001,yes,1,yes,14,0.5,107,6,10,77,1025,2459,11,7.0,18,yes,yes,no,1
1060,no,1.6,no,2,no,19,0.5,176,4,14,493,1247,420,9,7.0,17,no,no,yes,0
1189,yes,2.3000000000000003,no,0,yes,46,0.5,155,2,9,1173,1814,3919,13,11.0,9,yes,no,yes,3
1876,yes,2.8000000000000003,yes,10,no,8,1.0,176,7,13,964,1233,1248,8,1.0,3,no,no,yes,1
866,yes,3.1,yes,0,yes,54,0.7999999999999999,197,2,1,127,1670,3123,18,2.0,17,yes,yes,yes,2
1882,yes,1.9000000000000001,no,4,yes,18,0.7999999999999999,148,3,5,71,699,3335,17,15.0,8,yes,no,no,3
1140,no,1.5,no,12,yes,44,0.30000000000000004,197,8,17,111,1138,3477,19,3.0,4,yes,no,no,3
562,no,0.6,no,14,no,23,1.1,156,8,15,356,1903,2362,17,16.0,19,no,yes,yes,1
1714,no,1.5,no,1,no,63,0.6,147,7,12,747,1126,3654,16,1.0,20,yes,no,no,3
1838,yes,1.8,yes,3,no,26,0.2,144,6,16,408,1139,3099,5,0.0,19,no,yes,no,3
1038,yes,2.5,no,0,no,39,0.30000000000000004,129,7,3,373,926,2103,10,7.0,3,no,yes,no,1
1862,yes,2.4,no,15,no,23,0.7,172,4,16,1362,1506,3920,9,2.0,9,no,yes,no,3
1377,yes,1.2000000000000002,no,3,yes,9,1.0,155,7,19,475,726,3871,19,18.0,11,yes,yes,yes,3
790,no,2.6,yes,4,yes,57,1.0,101,8,12,42,1161,3971,12,8.0,7,yes,yes,yes,3
882,yes,1.8,yes,0,no,33,0.7999999999999999,183,2,2,30,1350,1416,12,1.0,8,yes,yes,no,0
1325,yes,2.6,yes,10,yes,28,0.30000000000000004,141,4,12,162,619,1894,10,0.0,16,yes,yes,yes,1
1870,no,2.1,yes,0,yes,42,0.30000000000000004,179,1,4,347,660,3133,8,3.0,8,yes,yes,yes,3
1268,no,2.0,yes,0,yes,7,0.30000000000000004,194,3,12,346,1468,2534,10,5.0,5,yes,yes,yes,2
1044,no,2.8000000000000003,yes,16,yes,50,0.9,103,7,18,727,1705,3217,18,0.0,21,yes,yes,yes,3
1481,no,0.6,no,8,no,19,0.7,166,3,10,180,1476,3325,13,12.0,7,yes,no,yes,3
1554,yes,2.3000000000000003,no,6,yes,13,0.30000000000000004,133,6,9,269,1026,2405,9,2.0,10,yes,yes,yes,2
1456,yes,0.6,yes,1,no,34,0.7999999999999999,93,4,3,250,1033,3421,7,5.0,6,yes,yes,no,3
1009,no,2.1,no,0,no,45,0.2,105,5,2,1186,1529,3650,9,0.0,17,no,no,no,3
654,yes,2.5,yes,9,yes,17,0.7999999999999999,183,5,11,77,559,1976,12,10.0,13,yes,no,no,0
1506,no,1.6,no,12,yes,34,0.7999999999999999,152,8,15,507,973,2808,7,2.0,8,yes,no,yes,2
1728,yes,1.0,yes,2,no,51,0.7,203,4,3,379,1223,2241,13,9.0,14,yes,no,yes,2
1584,no,2.9,no,2,yes,44,0.6,122,6,13,1486,1797,3892,17,10.0,11,yes,yes,yes,3
1480,yes,0.9,yes,12,no,48,0.7999999999999999,109,5,17,694,882,1143,5,2.0,7,no,no,yes,1
1180,yes,1.4000000000000001,no,0,no,49,0.7,111,5,0,579,596,2513,6,3.0,18,no,no,no,2
709,no,,,2,,25,0.9,141,3,17,495,574,3840,9,,8,yes,no,yes,3
757,yes,2.9,no,5,yes,51,0.4,196,4,12,315,990,2736,10,,17,yes,no,yes,2
914,yes,2.1,no,1,no,54,0.4,171,8,5,329,1053,2332,19,5.0,21,no,yes,no,1
653,yes,0.9,yes,2,yes,63,0.30000000000000004,186,5,4,548,858,2246,14,9.0,20,yes,yes,no,1
1485,no,2.2,no,1,yes,54,0.30000000000000004,186,7,2,531,758,1853,15,13.0,3,yes,yes,no,1
916,yes,1.0,no,2,no,4,0.9,110,2,12,191,1495,810,11,7.0,6,yes,yes,no,0
1458,yes,0.6,yes,7,no,7,0.5,115,5,12,823,1104,1589,6,,21,yes,no,yes,1
1505,yes,0.7999999999999999,no,10,yes,43,0.30000000000000004,176,4,14,841,1304,2124,15,1.0,3,yes,no,no,2
1683,yes,2.6,no,2,no,11,0.5,168,2,13,195,1205,1124,12,6.0,17,no,yes,yes,0
717,no,2.4,yes,4,no,48,0.2,170,4,6,21,562,3711,14,2.0,11,no,no,no,2
1878,no,2.9,yes,3,yes,56,0.5,192,3,4,235,585,3023,12,2.0,19,yes,no,no,2
1192,yes,,yes,9,,47,0.4,196,6,10,1417,1441,626,9,,20,yes,yes,yes,0
1199,no,1.4000000000000001,no,3,yes,20,0.6,159,6,7,649,1629,1799,19,5.0,5,yes,yes,yes,1
1889,yes,3.1,yes,6,yes,17,0.30000000000000004,136,8,7,1172,1798,3350,18,16.0,17,yes,yes,no,3
1774,yes,0.6,yes,3,no,64,0.7999999999999999,126,8,15,270,545,1836,5,2.0,21,no,yes,yes,1
1423,no,2.9,no,0,yes,57,0.5,175,1,2,781,1657,2777,13,8.0,15,yes,no,yes,3
730,no,2.4,yes,4,no,23,0.9,121,4,5,126,817,459,17,10.0,17,yes,yes,yes,0
956,yes,0.6,no,0,no,50,0.4,144,2,11,228,1058,440,17,0.0,3,yes,no,no,0
687,no,0.6,yes,8,yes,13,0.9,92,7,15,1091,1203,3212,15,7.0,3,yes,yes,yes,3
855,yes,,no,10,yes,3,0.7,210,2,16,674,740,3703,15,,9,yes,yes,no,3
1471,no,2.2,no,0,no,8,0.7999999999999999,133,7,0,398,1133,1054,8,1.0,4,no,yes,no,0
1656,no,1.9000000000000001,no,1,no,11,0.4,156,7,2,1184,1719,1072,8,1.0,15,yes,yes,yes,1
904,yes,0.7999999999999999,no,3,no,3,0.4,144,7,9,675,1285,3413,12,11.0,16,no,no,yes,3
1450,no,1.5,yes,13,no,26,1.1,166,3,16,1792,1850,1177,12,9.0,7,no,yes,no,1
1633,no,1.0,yes,2,yes,3,0.2,208,7,12,177,1905,303,13,5.0,14,yes,no,no,0
1610,no,1.9000000000000001,yes,7,no,28,0.5,193,2,13,1013,1158,491,15,11.0,9,no,no,yes,0
1993,yes,2.8000000000000003,no,5,yes,64,1.0,155,2,13,1058,1325,1735,5,3.0,9,yes,yes,no,2
1351,no,2.1,yes,15,no,62,0.4,124,5,16,592,772,2758,11,3.0,5,yes,no,no,2
1591,no,2.6,no,5,yes,51,0.9,205,1,18,810,1743,2614,8,2.0,17,yes,no,no,2
974,yes,1.8,no,0,yes,54,0.7999999999999999,117,3,4,681,1050,1902,16,8.0,20,yes,no,yes,1
1291,no,1.0,no,10,yes,25,1.1,188,6,12,765,899,1045,6,2.0,12,yes,yes,no,0
934,no,1.4000000000000001,no,1,no,64,0.7999999999999999,164,7,2,1176,1224,3819,8,7.0,10,yes,yes,yes,3
1749,yes,1.0,no,6,yes,48,0.7999999999999999,104,3,19,947,1131,2364,17,2.0,20,yes,yes,no,2
1174,yes,2.2,yes,4,no,41,0.2,105,3,7,1314,1884,1109,7,3.0,6,no,no,no,1
1130,yes,1.5,no,12,no,53,0.5,94,5,14,609,1370,2984,14,9.0,13,yes,yes,no,3
515,yes,0.6,no,6,yes,44,0.2,196,4,12,619,867,1345,5,1.0,10,yes,yes,no,0
1744,no,2.4,yes,9,yes,43,0.5,180,7,12,453,681,2612,12,3.0,11,yes,no,yes,2
1514,yes,1.8,no,12,no,6,0.7999999999999999,172,7,17,205,884,2337,15,7.0,8,yes,yes,yes,2
1988,no,0.6,yes,3,yes,51,0.2,175,8,20,282,1358,1616,17,12.0,4,yes,yes,yes,1
967,yes,1.6,yes,5,no,13,1.1,119,2,14,130,998,1140,9,8.0,11,no,yes,no,0
1069,yes,2.5,yes,3,yes,40,0.7,132,8,15,494,1989,606,16,,12,yes,no,no,0
1585,yes,1.7000000000000002,no,5,yes,42,0.9,128,3,10,275,862,3654,14,10.0,10,yes,no,no,3
1435,no,1.7000000000000002,no,7,no,4,0.7999999999999999,143,8,11,281,799,260,11,9.0,5,yes,yes,yes,0
1847,yes,0.6,yes,10,no,61,0.4,106,1,12,292,695,1733,9,5.0,7,no,no,no,1
754,no,0.6,yes,1,no,48,0.7999999999999999,97,7,13,164,728,3862,7,,17,no,no,no,3
1950,no,2.9,yes,8,no,16,0.2,110,5,10,631,1940,3632,9,7.0,18,no,yes,no,3
1079,no,2.6,yes,0,yes,45,1.1,184,3,4,897,1304,1967,6,2.0,7,yes,yes,no,1
934,yes,0.6,no,1,yes,60,0.7999999999999999,114,4,2,268,1078,1461,6,1.0,20,yes,yes,no,0
1970,no,1.0,no,0,no,22,0.9,125,3,7,861,1259,2325,9,8.0,8,no,no,yes,2
1124,no,1.3,no,9,no,2,0.7,130,4,14,331,790,3293,11,2.0,14,yes,yes,yes,2
1590,no,0.6,no,0,yes,61,0.9,169,1,13,1064,1594,3274,18,0.0,18,yes,yes,no,3
603,no,2.2,no,4,no,26,0.4,111,4,18,509,548,920,9,1.0,13,no,no,no,0
1591,yes,2.3000000000000003,yes,2,no,58,0.2,138,4,4,957,1911,3963,16,14.0,15,yes,no,yes,3
1419,yes,2.8000000000000003,no,2,yes,56,1.0,124,6,4,494,1649,592,11,3.0,7,yes,no,yes,0
1699,yes,0.7999999999999999,no,1,yes,34,0.2,105,1,3,236,1264,3703,15,9.0,9,yes,yes,no,3
1581,yes,1.6,no,0,no,27,0.30000000000000004,152,6,18,831,1484,1715,16,4.0,11,yes,yes,yes,1
1279,no,3.1,no,0,yes,41,0.4,210,4,3,902,1090,431,9,4.0,15,yes,yes,yes,0
1091,yes,1.0,yes,12,yes,2,0.7999999999999999,155,5,15,636,1259,2767,13,12.0,11,yes,no,yes,2
1665,yes,2.6,yes,13,yes,27,0.4,179,4,14,831,1439,2086,7,1.0,19,yes,no,no,2
1951,no,1.9000000000000001,no,0,no,20,0.9,196,5,4,518,592,1127,17,10.0,10,no,no,no,1
687,no,2.8000000000000003,no,7,no,17,0.4,184,6,20,725,870,1225,8,0.0,19,yes,no,yes,0
1891,no,2.9,no,5,yes,31,1.1,142,1,10,170,1106,3674,5,1.0,4,yes,yes,yes,3
859,yes,2.1,yes,3,no,17,0.30000000000000004,205,7,9,157,948,3102,17,5.0,14,yes,yes,no,2
1904,no,2.9,yes,6,no,50,0.9,134,8,9,1142,1393,345,11,8.0,19,no,yes,no,0
1227,yes,2.5,no,0,no,15,0.2,165,5,0,840,982,1972,16,8.0,16,yes,yes,no,1
1068,no,1.7000000000000002,no,5,no,39,0.7,141,5,17,401,1586,2730,6,0.0,18,yes,yes,yes,2
1556,yes,0.6,yes,11,no,5,1.1,134,3,12,395,1579,3637,7,4.0,19,no,no,no,3
1339,no,0.6,no,13,no,31,0.9,196,2,20,48,644,2182,7,4.0,17,yes,no,yes,1
871,no,1.4000000000000001,yes,3,no,34,0.2,114,2,4,478,539,3866,13,3.0,12,yes,no,no,3
1280,yes,0.6,yes,1,no,54,0.2,114,8,16,581,750,1157,7,1.0,21,no,no,yes,0
1775,yes,2.6,no,16,yes,32,0.7,180,6,18,1215,1472,3568,17,6.0,14,yes,no,yes,3
1663,yes,0.9,yes,1,yes,6,1.1,119,7,2,594,1337,866,9,8.0,3,yes,no,yes,1
1440,no,2.3000000000000003,no,0,yes,32,0.7,186,7,6,683,1663,871,19,13.0,10,yes,yes,yes,0
1663,yes,1.5,no,0,no,29,0.4,129,2,0,536,861,593,9,,10,yes,yes,yes,0
1848,yes,0.7,no,1,no,19,0.7999999999999999,169,1,2,83,773,1335,15,6.0,12,no,yes,yes,1
1262,yes,2.1,yes,2,yes,23,0.30000000000000004,133,7,10,905,1313,2210,12,11.0,11,yes,no,yes,2
514,yes,0.6,yes,7,no,15,1.0,93,3,15,249,1849,2612,18,14.0,16,no,yes,yes,2
583,no,2.3000000000000003,no,0,no,59,0.7999999999999999,195,5,6,803,1613,2821,19,17.0,10,no,no,yes,2
1874,yes,2.4,no,6,no,44,0.7999999999999999,144,3,15,459,1259,1957,9,4.0,16,yes,no,yes,2
689,yes,1.4000000000000001,no,9,yes,50,0.7,161,4,20,584,1151,3418,14,6.0,9,yes,yes,no,3
1064,yes,2.6,yes,6,no,10,1.0,170,1,13,1596,1807,3805,7,3.0,17,no,no,yes,3
1680,yes,2.4,yes,11,no,7,0.6,202,1,14,418,1763,576,5,3.0,20,yes,no,no,0
1419,yes,0.6,no,10,yes,45,1.0,176,4,19,364,1029,2131,13,9.0,13,yes,no,yes,1
1076,no,2.5,yes,2,yes,9,1.0,113,6,14,946,952,1950,13,1.0,19,yes,yes,yes,1
1834,no,0.7999999999999999,no,2,no,2,0.7,100,7,6,186,654,2980,18,7.0,19,no,no,no,2
1041,no,1.4000000000000001,no,0,yes,12,0.9,210,8,0,1428,1827,1621,7,1.0,11,yes,yes,yes,1
1061,no,2.5,no,8,no,61,0.2,144,3,18,1613,1916,3718,15,13.0,12,yes,yes,no,3
1608,no,1.5,no,3,no,57,0.2,164,4,4,1127,1924,3456,13,8.0,21,no,no,yes,3
1930,yes,1.9000000000000001,no,9,yes,19,1.1,197,3,20,691,1580,3779,7,2.0,14,yes,yes,yes,3
1130,yes,1.2000000000000002,no,9,yes,46,1.0,145,8,10,751,1582,1436,5,0.0,12,yes,no,no,1
1415,no,0.6,yes,5,no,51,0.4,127,5,11,187,517,3385,16,5.0,3,no,no,no,3
537,yes,0.6,yes,8,yes,54,0.6,155,8,15,710,939,2676,14,8.0,11,yes,no,no,2
1782,yes,0.6,no,6,no,27,0.2,200,4,11,1331,1463,2778,19,17.0,15,yes,yes,yes,3
1673,no,0.7,yes,7,yes,61,0.2,139,2,11,263,848,2338,10,4.0,8,yes,no,no,2
1823,no,1.0,no,9,yes,12,0.4,124,1,18,97,1803,2432,7,4.0,7,yes,yes,yes,2
1078,yes,,,3,,38,0.7999999999999999,129,6,8,129,915,893,18,,10,yes,yes,no,0
534,yes,0.9,yes,3,no,8,0.2,203,5,10,1213,1354,730,13,5.0,9,yes,yes,no,0
779,yes,2.7,no,3,no,30,1.0,158,5,17,189,1143,3888,14,10.0,8,yes,no,no,3
1658,yes,,yes,0,,16,1.1,127,7,2,320,899,2858,14,,21,yes,yes,yes,2
579,no,2.5,no,8,yes,37,1.0,171,6,20,1087,1450,816,11,7.0,20,yes,yes,yes,0
739,yes,2.5,yes,7,no,49,0.7,203,4,16,781,1463,2953,7,0.0,11,no,yes,no,2
706,no,2.3000000000000003,yes,4,no,53,0.30000000000000004,196,6,6,251,1013,3655,7,1.0,16,yes,yes,yes,2
527,yes,0.6,yes,5,no,51,0.6,147,8,11,262,1587,1893,18,3.0,13,no,yes,no,1
506,yes,0.6,yes,5,no,16,0.2,176,1,9,767,1665,703,17,15.0,16,yes,no,yes,0
795,no,1.3,yes,1,yes,38,0.7,186,4,7,1226,1815,3141,6,1.0,13,yes,yes,yes,3
571,no,0.7,yes,2,no,39,0.2,194,8,9,389,739,2813,7,6.0,8,yes,no,yes,1
709,no,0.6,no,0,yes,16,0.2,204,2,0,1027,1508,1855,17,14.0,13,yes,yes,yes,1
769,no,2.0,no,16,yes,19,0.30000000000000004,195,6,17,271,1000,2447,6,1.0,7,yes,yes,yes,1
643,yes,1.2000000000000002,no,0,yes,7,1.0,202,1,3,417,759,3597,7,5.0,20,yes,yes,yes,2
1004,no,0.9,yes,0,yes,35,0.6,93,2,4,1345,1416,1728,16,5.0,20,yes,no,yes,1
1410,yes,2.2,yes,10,no,45,1.0,99,5,14,613,1088,3954,8,6.0,4,no,no,yes,3
1902,yes,2.1,yes,1,no,41,0.6,200,8,6,912,1596,852,5,1.0,5,yes,yes,yes,1
728,no,3.0,no,0,no,43,0.2,111,8,0,666,760,1448,17,2.0,9,yes,yes,no,0
1232,yes,2.3000000000000003,yes,6,no,26,0.9,133,5,7,416,676,990,11,5.0,10,no,yes,yes,0
1521,no,2.2,no,0,no,32,0.7999999999999999,210,1,10,168,1239,2914,11,10.0,16,yes,yes,no,2
1193,no,2.5,yes,2,no,13,1.0,179,1,7,179,1813,1030,14,6.0,9,yes,yes,yes,0
1170,no,1.4000000000000001,no,9,no,61,0.2,100,8,10,159,1578,3175,9,4.0,18,no,no,yes,3
1760,yes,0.6,no,11,yes,13,0.7,200,8,14,762,1864,1899,6,2.0,16,yes,no,no,2
1292,no,0.6,no,0,no,3,0.2,153,6,4,600,1109,1216,9,8.0,16,no,yes,yes,1
1271,yes,1.4000000000000001,no,14,no,52,0.9,128,2,15,1597,1920,667,18,5.0,6,no,no,no,1
1290,no,2.9,yes,15,no,50,0.2,131,2,20,1177,1809,3131,17,6.0,3,no,no,no,3
1574,yes,0.9,yes,7,yes,8,0.9,179,5,8,577,1237,3463,6,3.0,11,yes,yes,yes,3
1629,no,1.0,yes,9,yes,32,0.2,190,6,16,52,1082,3208,12,6.0,17,yes,yes,no,3
1703,yes,0.6,no,13,yes,46,1.0,125,2,15,364,828,3719,11,0.0,11,yes,yes,no,3
1902,yes,0.6,yes,0,yes,55,1.0,181,1,1,934,1241,3919,15,5.0,19,yes,no,yes,3
1976,no,1.1,no,4,no,24,0.4,90,7,13,250,545,863,7,4.0,7,yes,no,yes,0
1199,yes,0.6,yes,9,no,20,0.2,139,5,10,214,1710,2887,19,7.0,15,yes,yes,yes,2
589,yes,2.4,yes,4,no,6,0.7999999999999999,180,1,16,612,1793,2779,9,2.0,15,yes,yes,no,2
936,no,1.2000000000000002,no,7,no,24,0.9,122,5,12,1111,1463,1019,12,7.0,10,no,no,yes,0
1197,no,2.1,yes,1,yes,23,0.2,92,4,9,163,1100,982,13,9.0,18,yes,no,no,0
1855,yes,1.1,no,2,no,23,0.5,102,1,15,202,1951,2777,14,4.0,18,yes,no,no,3
1166,no,1.1,no,4,yes,19,1.0,105,8,18,729,1704,3311,15,3.0,4,yes,no,yes,3
1514,yes,0.6,no,8,yes,18,0.2,98,3,17,1079,1897,3609,12,10.0,7,yes,yes,yes,3
1815,yes,0.7,yes,0,yes,5,0.30000000000000004,208,3,8,338,1306,761,9,3.0,15,yes,yes,no,0
948,yes,2.7,yes,17,no,5,0.2,176,3,20,1698,1771,3722,15,7.0,5,no,yes,no,3
706,yes,2.8000000000000003,no,8,yes,29,0.30000000000000004,90,1,10,1108,1509,1124,9,3.0,11,yes,yes,yes,0
1665,yes,0.6,no,0,no,40,0.7,157,4,15,951,1545,1338,8,5.0,16,yes,no,no,1
1968,yes,1.5,yes,2,no,40,1.0,195,8,18,1197,1987,1187,11,2.0,21,no,yes,no,2
1221,no,1.1,yes,0,no,17,0.7999999999999999,206,5,4,473,1022,707,11,3.0,7,no,yes,yes,0
614,yes,0.7999999999999999,no,6,no,35,0.7,191,5,12,1294,1337,3171,14,9.0,7,no,no,no,2
1660,yes,1.5,no,0,yes,39,0.7999999999999999,192,1,5,410,522,3485,10,1.0,16,yes,no,yes,3
1265,no,0.6,no,12,no,64,0.4,185,5,18,178,1883,1185,14,3.0,18,no,no,yes,1
1397,yes,,,0,,55,0.7,128,3,1,782,1787,3375,11,,17,yes,yes,no,3
654,no,0.6,yes,1,no,58,0.7,152,3,2,464,781,567,18,12.0,10,no,no,yes,0
1177,no,0.7,no,10,no,25,0.2,155,2,12,137,1501,3155,9,,13,yes,no,no,2
563,yes,1.1,no,0,no,11,0.2,173,8,10,492,1176,3423,16,2.0,6,yes,yes,yes,2
1139,no,2.3000000000000003,no,6,yes,3,1.0,183,5,7,1250,1285,318,15,14.0,18,yes,no,no,0
1837,yes,2.4,no,4,yes,11,0.2,203,7,13,385,583,450,18,17.0,15,yes,no,no,0
1597,yes,0.9,yes,0,yes,44,0.7999999999999999,95,4,20,1024,1838,3883,14,10.0,10,yes,no,yes,3
1721,yes,2.1,no,0,no,12,0.4,132,8,7,240,904,464,6,3.0,6,no,no,no,0
1772,no,2.4,yes,0,no,7,0.9,138,7,6,886,1552,1482,6,1.0,18,yes,no,no,1
1314,no,0.6,yes,0,yes,28,0.9,173,2,0,1233,1854,1089,17,16.0,15,yes,no,no,1
1873,yes,2.1,no,7,yes,20,0.2,91,7,14,88,1682,2146,13,12.0,13,yes,yes,yes,2
924,no,1.6,yes,1,yes,35,1.0,198,7,15,1016,1383,1167,19,6.0,5,yes,yes,yes,0
1977,yes,1.6,no,6,yes,16,1.0,138,8,11,80,655,3000,5,4.0,14,yes,yes,no,2
1214,no,2.7,no,1,yes,46,0.4,112,4,8,611,1715,2251,14,3.0,5,yes,yes,yes,2
1432,yes,1.0,no,3,no,56,0.2,189,3,5,569,906,754,17,8.0,18,no,no,yes,0
1838,yes,2.2,yes,0,yes,30,0.30000000000000004,194,7,15,276,1230,3074,7,3.0,6,yes,yes,no,3
882,no,0.6,yes,1,no,44,0.6,182,8,15,436,1302,3134,8,7.0,7,no,yes,yes,2
1111,yes,2.8000000000000003,yes,1,no,39,0.5,108,1,9,1391,1787,1526,15,10.0,8,yes,yes,yes,1
845,no,1.9000000000000001,yes,0,no,16,0.2,176,5,6,981,1096,3675,12,1.0,21,yes,no,yes,3
600,no,2.4,yes,7,no,21,0.7999999999999999,206,2,10,680,1173,3295,8,4.0,8,yes,no,yes,2
974,yes,2.8000000000000003,yes,1,no,5,1.1,136,4,2,687,816,3037,12,7.0,20,yes,no,yes,2
1946,yes,0.6,no,5,yes,36,0.2,207,6,18,1060,1970,586,17,14.0,14,yes,yes,no,1
1227,no,0.7999999999999999,yes,0,yes,2,0.7,148,7,1,217,1101,2677,12,11.0,16,yes,yes,no,2
646,yes,1.4000000000000001,yes,7,yes,30,0.6,124,1,16,1140,1654,2384,9,0.0,20,yes,no,yes,2
503,no,2.4,no,12,yes,54,0.4,141,4,19,504,1089,2348,13,12.0,3,yes,no,yes,1
1622,yes,2.3000000000000003,yes,0,yes,30,0.30000000000000004,195,3,3,832,1033,608,6,0.0,19,yes,no,no,0
1916,no,0.7999999999999999,no,1,no,35,0.7,128,8,2,942,1701,645,17,1.0,9,yes,no,yes,1
1065,yes,1.2000000000000002,no,0,yes,26,0.9,111,5,2,1208,1232,3811,17,16.0,6,yes,no,yes,3
948,no,2.2,no,0,yes,19,0.30000000000000004,164,8,0,159,630,2106,7,4.0,17,yes,yes,no,1
1399,no,3.0,yes,13,no,9,0.6,97,6,18,1308,1991,3139,12,1.0,12,yes,yes,yes,3
703,yes,0.7999999999999999,no,7,no,15,0.6,170,3,11,1002,1256,1758,6,3.0,18,yes,yes,yes,1
572,yes,0.6,yes,2,no,9,0.4,121,7,5,1331,1917,3665,14,10.0,15,no,no,no,3
957,no,0.6,yes,4,no,43,1.0,153,5,8,1248,1511,1434,12,9.0,10,yes,yes,yes,1
926,no,0.6,yes,0,yes,47,0.4,177,8,6,108,1813,1622,17,15.0,13,yes,no,no,1
602,no,0.6,no,0,no,14,0.9,122,5,2,320,747,1657,18,0.0,10,no,no,no,0
1065,yes,2.6,no,0,yes,31,1.0,105,6,10,295,935,963,16,6.0,6,yes,yes,no,0
922,yes,0.6,no,2,no,46,0.9,159,3,3,1058,1421,2610,6,0.0,3,no,no,yes,2
1717,no,2.0,no,4,yes,3,0.2,181,5,6,79,1652,516,7,4.0,14,yes,no,no,0
1843,yes,1.4000000000000001,yes,6,no,14,0.7,177,8,8,593,672,2306,7,1.0,19,no,no,yes,2
545,yes,0.6,yes,4,yes,60,0.7999999999999999,142,5,7,693,1031,935,14,0.0,6,yes,yes,no,0
1114,yes,0.6,yes,1,no,53,0.7,131,4,16,234,739,3657,7,3.0,21,yes,yes,no,3
711,yes,2.1,yes,0,no,35,0.2,146,1,0,1545,1596,1975,12,9.0,17,no,yes,yes,1
1464,yes,1.8,yes,1,no,25,0.30000000000000004,192,7,18,91,1478,826,15,5.0,14,yes,no,yes,0
1996,no,1.6,yes,2,yes,7,0.6,156,8,7,447,1435,3624,7,0.0,21,yes,no,yes,3
1928,yes,1.2000000000000002,no,13,yes,50,0.30000000000000004,189,6,17,371,1000,3811,17,12.0,18,yes,yes,no,3
968,yes,0.7,no,9,yes,50,0.30000000000000004,127,4,10,1446,1754,2576,10,1.0,6,yes,no,yes,2
570,no,2.1,no,1,no,36,0.4,189,3,4,181,1703,952,17,9.0,10,yes,no,no,0
1899,no,3.1,no,1,yes,21,0.6,202,8,2,1311,1935,275,17,6.0,4,yes,yes,yes,0
1697,no,0.6,yes,6,yes,46,0.7999999999999999,210,3,9,1791,1898,448,16,13.0,16,yes,yes,yes,1
